t,s,kappa,tau
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,0,nan,nan
0.750000,11.70978397,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,0,nan,nan
0.800000,12.6899205,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
